1; Nancy; Williams; Nancy; 507 - 20th Ave. E.Apt. 2A; Seattle; WA; 98122; Northwest; USA; Nancy's Gifts; Właściciel; 206-555-9857; 1998-01-01
76; Mike; Michaels; Mike; 6934 Denning; Allgood; AZ; 35013; Southwest; USA; Mike's; Prezes; 708-8882536; 1998-06-16
77; Patrick; Longsworth; Patrick; 12345 N. Avery; Afton; MN; 55001; Midwest; USA; Best Gifts and Foods; Prezes; 312-234-6741; 1998-12-20
78; Jerri; Key; Jerri; 3124 Merrill; Vaughn; NM; 88353; Southwest; USA; Gift Express; Prezes; 708-882-8888; 1998-03-15
79; Phil; Keller; Phil; 6289 N. Market; Lincoln; NE; 68516; Midwest; USA; Keller's; Prezes; 316-606-4239; 1998-09-05
80; Merry; Jameson; Merry; 3446 Perry; Clearwater; FL; 34570; Southeast; USA; Merry Times; Prezes; 708-639-4596; 1998-10-15
81; Charles; Farmer; Charles; 2476 Marshall; Logan; WV; 25600; Southeast; USA; The Century Club; Prezes; 513-671-6544; 1998-09-25
82; Rachel; Downing; Rachel; 4793 Tenor Lane; Logan; WV; 25600; Southeast; USA; The Gift Stop; Prezes; 513-567-6633; 1998-05-08
83; Marilyn; Daniels; Marilyn; 8790 W. 3rd Street; Alexandria; VA; 22303; Southeast; USA; The Extravagant Gift; Prezes; 73-329-7496p; 1998-04-06
84; Todd; Carlson; Todd; 6527 E. Russel; Rowlett; TX; 75088; South Central; USA; Paradise Gifts; Prezes; 214-456-7888; 1998-03-07
85; Tim; Brown; Tim; 5939 Lassiter; Detroit; MI; 54892; Midwest; USA; Porter's; Prezes; 618-698-7596; 1998-11-02
86; Timothy; Andrews; Timothy; 3546 N. Main; Afton; MN; 55001; Midwest; USA; Excellent Choice; Prezes; 312-234-5481; 1998-11-17
87; Terri; Anthony; Terri; 3056 Teller; Vaughn; NM; 88353; Southwest; USA; Gifts Etc; Prezes; 708-882-6588; 1998-10-06
88; Rob; Brown; Rob; 7333 Marshall; Clearwater; FL; 34570; Southeast; USA; Rob's Place; Prezes; 708-639-4562; 1998-09-05
89; Melody; Brown; Melody; 1479 E. Mission; Cinncinati; OH; 45246; Midwest; USA; Melody's; Prezes; 513-671-6622; 1998-02-05
90; Donna; Crestway; Donna; 3959 Smith; Fairfield; OH; 45014; Midwest; USA; Dream Gifts and Foods; Prezes; 513-234-7544; 1998-01-12
91; Steve; Darby; Steve; 6577 S. Chelsea; Crystal Lake; IL; 60014; Midwest; USA; Steve's; Prezes; 815-458-3322; 1998-02-08
92; Matt; Dreyer; Matt; 4050 Miller; Springfield; CO; 81073; Southwest; USA; Matt's; Prezes; 708-303-6722; 1998-08-16
93; Chris; Fisher; Chris; 3468 Miller; Vaughn; NM; 88353; Southwest; USA; Chris' Place; Prezes; 708-882-9999; 1998-06-21
94; Ross; Fisher; Ross; 7289 N. Skyline; Wichita; KS; 67208; Midwest; USA; Ross's; Prezes; 316-606-3583; 1998-02-05
95; Rich; Grisham; Rich; 3457 River Plaza; Cinncinati; OH; 45246; Midwest; USA; Rich's; Prezes; 513-671-6544; 1997-12-04
96; Chuck; Houser; Chuck; 235 S. Main; Cinncinati; OH; 45246; Midwest; USA; Chuck's Place; Prezes; 513-567-7744; 1998-03-05
97; Elizabeth; Kendall; Elizabeth; 4090 Breakstone; Detroit; MI; 54892; Midwest; USA; Darby's; Prezes; 618-698-5444; 1998-05-13
98; Max; Marker; Max; 4960 Lake; Springfield; CO; 81073; Southwest; USA; Delights; Prezes; 708-303-6702; 1998-04-05
99; Tanner; McNichols; Tanner; 6400 Travis; Afton; MN; 55001; Midwest; USA; No Regrets; Prezes; 312-234-7521; 1998-05-16
100; Cassy; Miller; Cassy; 3293 Edgemoor; Vaughn; NM; 88353; Southwest; USA; Basket Delight; Prezes; 708-882-4444; 1998-02-25
